Category,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Income & Output,GDP – Gross Domestic Product (USD),468400000000.0,485400000000.0,514900000000.0,607700000000.0,709200000000.0,820400000000.0,1176350691099.4802,1216700000000.0,1198900000000.0,1341900000000.0,1675600000000.0,1823100000000.0,1827600000000.0,1856700000000.0,2039100000000.0,2103600000000.0,2294800000000.0,2651500000000.0,2702900000000.0,2835600000000.0,2674900000000.0,3167300000000.0,3346100000000.0,3638500000000.0,3909900000000.0
Income & Output,GNI – Gross National Income (USD),4634000000.0,481200000000.0,,603200000000.0,704200000000.0,-4072500000000.0,932900000000.0,n.a,1191700000000.0,1333900000000.0,1657700000000.0,1807000000000.0,1806200000000.0,1833600000000.0,2015000000000.0,2079199999999.9998,2268500000000.0,2622800000000.0,2674000000000.0,-2808400000000.0,2638900000000.0,,3300000000000.0,3588700000000.0,3853300000000.0
Income & Output,NNI – Adj. Net National Income (USD),410200000000.0,426400000000.0,452900000000.0,535400000000.0,621000000000.0,715700000000.0,818900000000.0,1060000000000.0,1027400000000.0001,1171800000000.0,1449400000000.0,1569500000000.0,1576100000000.0,1602700000000.0,1767100000000.0,1839200000000.0,1991600000000.0,2326200000000.0,2363300000000.0,2479300000000.0,2297200000000.0,missing,,,
Income & Output,GDP per Capita (USD),443.0,435.57,469.0,544.0,624.0,710.0,802.0,1022.0,n.a,-1095.0,1348.0,1445.0,1429.0,1433.0,1554.0,1584.0,1708.0,1831.4417,1966.0,2041.0,1907.0,2240.0,TBD,253000.0,2695.0
Income & Output,GNI per Capita – Atlas Method (USD),440.0,450.0,578.9812,510.0,610.0,700.0,,,990.0,1110.0,1210.0,1350.0,1460.0,1500.0,1540.0,1580.0,1670.0,17900.0,1970.0,2070.0,1900.0,2170.0,2390.0,2580.0,2650.0
Income & Output,Adj. NNI per Capita (USD),388.0,396.0,413.0,479.0,547.0,#VALUE,698.0,890.0,851.0,956.0,1166.0,1244.0,1233.0,1237.0,1347.0,1385.0,1482.0,1711.0,1719.0,1785.0,,1907.0,,,
Income & Output,GDP Growth Rate (Annual %),3.84,4.82,3.8,7.86,7.92,7.92,8.06,7.66,3.09,7.86,8.5,5.24,5.46,6.39,7.41,,8.26,6.8,6.45,--,-5.78,9.69,0.0761,9.19,6.49
Income & Output,"Agriculture, Forestry & Fishing (% GDP)",,,,,,,,,,,,,,,,,,,,,,,,,
Income & Output,Industry incl. Construction (% GDP),,,,,,,,,,,,,,,,,,,,,,,,,
Income & Output,Services (% GDP),,,,,,,,,,,,,,,,,,,,,,,,,
Income & Output,Manufacturing (% GDP),,,,,,,,,,,,,,,,,,,,,,,,,
Consumption & Savings,HFCE – Household Final Consumption (% of GDP),63.74,64.15,63.03,61.5,58.35,57.38,56.11,55.76,56.68,55.96,54.72,56.21,56.46,57.65,58.13,59.01,59.3,58.73,59.29,60.91,61.1,60.95,61.46,60.19,61.38
Consumption & Savings,HFCE per Capita – Real (Const 2015 USD),488.9,508.4,,534.6,552.8,584.4,603.7,638.0,656.9,6.798,715.1,757.3,787.8,834.2,876.4,934.7,998.7,1048.7,1110.8,1156.2,missing,1201.1,1280.7,1340.0,1423.7
Consumption & Savings,HFCE per Capita Growth (Annual %),1.51,0.039900000000000005,1.02,4.1,-3.39,5.72,-3.31,5.68,2.96,-3.49,5.18,5.91,4.03,5.88,-5.06,6.65,6.85,5.01,5.92,-4.08,-6.21,10.76,6.62,4.63,6.24
Consumption & Savings,GFCE – Govt Final Consumption (% of GDP),11.95,11.76,11.31,10.88,10.4,10.37,-9.8,9.86,10.54,11.46,11.01,11.08,10.68,10.3,10.44,10.43,10.31,10.77,10.82,11.0,11.61,10.48,10.26,10.31,9.99
Consumption & Savings,Gross Capital Formation / Investment (% of GDP),25.68,unknown,30.25,30.84,N/A,37.43,39.0,41.95,38.42,39.26,39.79,39.59,-38.35,34.02,34.27,-160.6,30.17,30.98,32.34,30.1,28.92,32.12,33.62,33.36,32.91
Consumption & Savings,Gross Savings Rate (% of GDP),26.12,26.26,23.1393,30.47,33.33,34.42,,37.01,36.25,35.62,36.31,35.13,35.26,34.3,33.47,32.45,31.73,31.71,31.41,29.7,28.68,29.87,29.81,30.94,30.27
Inflation & Prices,CPI Inflation – Consumer Prices (Annual %),4.01,3.78,4.3,3.81,3.77,4.25,5.8,6.37,8.35,10.88,11.99,8.91,9.48,10.02,6.67,4.91,4.95,3.33,3.94,3.73,6.62,5.13,6.7,5.65,4.95
Inflation & Prices,Consumer Price Index (2010 = 100),543.0,56.4,58.8,61.1,-63.4,66.0,69.9,74.3,8050.0,89.3,100.0,108.9,119.2,131.2,139.9,146.8,154.1,159.2,165.5,1716.0,183.0,192.4,205.3,254.8563,227.6
Inflation & Prices,GDP Deflator – Inflation (Annual %),3.64,-3.22,3.72,3.87,,5.62,8.4,6.94,9.19,7.04,-10.53,8.73,7.93,6.19,3.33,2.28,3.24,3.97,2.9946,2.41,4.4132,8.35,5.9,2.59,3.08
Trade & External,Exports of Goods & Services (% of GDP),13.0,12.56,14.26,14.95,17.86,19.61,21.27,20.8,24.1,20.4,22.4,24.54,24.53,25.43,22.97,19.81,19.16,18.79,19.93,18.66,18.68,21.4,23.25,21.45,21.16
Trade & External,Imports of Goods & Services (% of GDP),13.9,13.43,15.24,15.64,19.64,22.4,24.46,24.89,29.27,25.87,268.5,31.08,31.26,,25.95,22.11,20.92,21.95,23.69,21.24,19.08,24.02,26.82,23.54,23.49
Trade & External,Trade Balance (Exports minus Imports %),-0.91,-0.88,-0.98,-0.7,-1.79,-2.79,-3.19,-4.09,-5.17,-5.47,-4.45,-6.54,-6.72,-2.98,-2.99,,-1.77,-3.16,-3.76,-2.58,-0.3156,-2.62,-3.57,-2.1,-2.33
Trade & External,Official Exchange Rate – INR per USD (Period Avg),,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal & Government,Tax Revenue (% of GDP),8.81,6.2994,8.68,9.11,9.57,10.08,11.13,12.11,10.98,9.81,10.39,10.18,10.84,11.0,9.98,10.57,11.15,11.39,12.02,,,,6.73,,
Fiscal & Government,Government Expense / Expenditure (% GDP),15.41,15.55,16.05,15.58,15.13,15.17,15.19,15.26,17.23,16.85,16.51,14.49,16.17,16.64,14.8,15.13,15.27,15.61,15.66,,,,13.33,,
Fiscal & Government,Central Government Debt (% of GDP),55.0,59.02,62.55,62.19,62.59,62.23,59.67,57.5,N/A,55.26,51.59,51.56,50.68,50.31,49.9,49.96,47.63,47.58,46.52,,,,,,
